,stasiun,pm10,so2,co,o3,no2,categori
209,DKI5 (Kebon Jeruk),58.0,6.0,26.0,27.0,19.0,SEDANG
210,DKI5 (Kebon Jeruk),60.0,5.0,29.0,37.0,16.0,SEDANG
211,DKI5 (Kebon Jeruk),52.0,6.0,25.0,47.0,12.0,SEDANG
212,DKI5 (Kebon Jeruk),78.0,5.0,31.0,65.0,16.0,SEDANG
213,DKI5 (Kebon Jeruk),104.0,7.0,63.0,87.0,14.0,TIDAK SEHAT
214,DKI5 (Kebon Jeruk),71.0,5.0,18.0,58.0,10.0,SEDANG
215,DKI5 (Kebon Jeruk),51.0,5.0,17.0,75.0,13.0,SEDANG
216,DKI5 (Kebon Jeruk),73.0,6.0,32.0,47.0,12.0,SEDANG
217,DKI5 (Kebon Jeruk),74.0,5.0,34.0,65.0,10.0,SEDANG
218,DKI5 (Kebon Jeruk),67.0,6.0,36.0,65.0,17.0,SEDANG
219,DKI5 (Kebon Jeruk),60.0,7.0,18.0,99.0,14.0,SEDANG
220,DKI5 (Kebon Jeruk),70.0,4.0,26.0,129.0,13.0,TIDAK SEHAT
221,DKI5 (Kebon Jeruk),77.0,7.0,32.0,98.0,14.0,SEDANG
222,DKI5 (Kebon Jeruk),62.0,6.0,32.0,112.0,15.0,TIDAK SEHAT
223,DKI5 (Kebon Jeruk),81.0,7.0,46.0,93.0,23.0,SEDANG
224,DKI5 (Kebon Jeruk),63.0,9.0,13.0,49.0,14.0,SEDANG
225,DKI5 (Kebon Jeruk),62.0,8.0,11.0,29.0,9.0,SEDANG
226,DKI5 (Kebon Jeruk),44.0,8.0,11.0,47.0,9.0,BAIK
227,DKI5 (Kebon Jeruk),60.0,8.0,11.0,69.0,13.0,SEDANG
228,DKI5 (Kebon Jeruk),69.0,7.0,22.0,47.0,15.0,SEDANG
229,DKI5 (Kebon Jeruk),62.0,9.0,11.0,99.0,11.0,SEDANG
230,DKI5 (Kebon Jeruk),68.0,7.0,10.0,61.0,16.0,SEDANG
231,DKI5 (Kebon Jeruk),57.0,9.0,11.0,65.0,8.0,SEDANG
232,DKI5 (Kebon Jeruk),68.0,9.0,11.0,65.0,8.0,SEDANG
233,DKI5 (Kebon Jeruk),60.0,8.0,10.0,52.0,15.0,SEDANG
234,DKI5 (Kebon Jeruk),68.0,7.0,10.0,72.0,10.0,SEDANG
235,DKI5 (Kebon Jeruk),62.0,8.0,7.0,63.0,9.0,SEDANG
236,DKI5 (Kebon Jeruk),66.0,6.0,8.0,87.0,9.0,SEDANG
237,DKI5 (Kebon Jeruk),86.0,7.0,12.0,122.0,13.0,TIDAK SEHAT
238,DKI5 (Kebon Jeruk),61.0,5.0,7.0,86.0,7.0,SEDANG
239,DKI5 (Kebon Jeruk),55.0,5.0,13.0,55.0,8.0,SEDANG
240,DKI5 (Kebon Jeruk),36.0,5.0,10.0,52.0,12.0,SEDANG
241,DKI5 (Kebon Jeruk),52.0,5.0,7.0,69.0,10.0,SEDANG
242,DKI5 (Kebon Jeruk),54.0,6.0,9.0,92.0,8.0,SEDANG
243,DKI5 (Kebon Jeruk),50.0,6.0,5.0,107.0,7.0,TIDAK SEHAT
244,DKI5 (Kebon Jeruk),56.0,7.0,6.0,115.0,7.0,TIDAK SEHAT
245,DKI5 (Kebon Jeruk),56.0,7.0,5.0,78.0,10.0,SEDANG
246,DKI5 (Kebon Jeruk),57.0,7.0,5.0,54.0,8.0,SEDANG
247,DKI5 (Kebon Jeruk),38.0,6.0,5.0,65.0,6.0,BAIK
248,DKI5 (Kebon Jeruk),52.0,6.0,8.0,65.0,8.0,SEDANG
249,DKI5 (Kebon Jeruk),51.0,7.0,5.0,65.0,10.0,SEDANG
250,DKI5 (Kebon Jeruk),65.0,8.0,7.0,65.0,11.0,SEDANG
251,DKI5 (Kebon Jeruk),66.0,8.0,8.0,65.0,12.0,SEDANG
252,DKI5 (Kebon Jeruk),82.0,10.0,8.0,113.0,15.0,TIDAK SEHAT
253,DKI5 (Kebon Jeruk),74.0,8.0,8.0,88.0,13.0,SEDANG
254,DKI5 (Kebon Jeruk),63.0,9.0,5.0,75.0,10.0,SEDANG
255,DKI5 (Kebon Jeruk),61.0,8.0,5.0,71.0,10.0,SEDANG
256,DKI5 (Kebon Jeruk),66.0,8.0,6.0,85.0,10.0,SEDANG
257,DKI5 (Kebon Jeruk),72.0,8.0,8.0,118.0,13.0,TIDAK SEHAT
258,DKI5 (Kebon Jeruk),64.0,9.0,5.0,66.0,10.0,SEDANG
259,DKI5 (Kebon Jeruk),88.0,6.0,13.0,69.0,17.0,SEDANG
